City,Country,Latitude,Longitude,MaxTemp,Humidity,Clouds,WindSpeed,Date
Yam,RU,55.48,37.75,19.0,82,75,3.0,1596065789
Mbamba,NG,9.98,13.1,21.9,92,100,1.42,1596065789
Killybegs,IE,54.63,-8.45,14.44,95,100,3.13,1596065789
Rincon,US,32.3,-81.24,26.11,88,75,3.1,1596065566
Chumikan,RU,54.72,135.31,24.52,62,45,6.57,1596065790
Hammerfest,NO,70.66,23.68,16.0,72,99,3.1,1596065790
Orange,US,33.7,-117.77,30.0,60,20,4.1,1596065790
Paraíso,CR,9.84,-83.87,24.0,64,40,5.7,1596065791
Itaunja,IN,27.08,80.92,27.0,88,75,2.61,1596065791
Lüderitz,NA,-26.65,15.16,14.0,67,0,3.1,1596065513
Nortelândia,BR,-14.45,-56.8,24.01,47,33,1.94,1596065791
Holetown,BB,13.19,-59.64,28.0,83,40,8.2,1596065792
Ostrovnoy,RU,68.05,39.51,9.12,92,4,5.5,1596065792
Sisimiut,GL,66.94,-53.67,8.51,73,97,2.49,1596065792
Jurm,AF,36.86,70.83,17.52,34,0,0.7,1596065792
Ajuchitlán,MX,20.72,-100.02,20.0,68,90,5.1,1596065793
Bakchar,RU,57.02,82.07,11.63,97,66,3.3,1596065793
Manbij,SY,36.53,37.95,27.0,51,0,5.21,1596065793
Garmsār,IR,35.22,52.34,29.78,29,39,3.62,1596065794
Kailua,US,21.4,-157.74,31.0,54,75,5.1,1596065511
Sortland,NO,68.69,15.42,16.0,82,88,6.7,1596065794
Teya,RU,60.38,92.63,16.25,84,97,1.74,1596065539
Prince Rupert,CA,54.32,-130.32,21.0,56,1,3.6,1596065712
Spas-Demensk,RU,54.41,34.02,15.15,97,83,2.8,1596065795
Waipawa,NZ,-41.41,175.52,13.33,76,1,7.2,1596065795
Naze,JP,28.37,129.48,30.0,84,20,4.6,1596065795
